timestamp_us,event,value_us
2340046207,udp_inter_packet_us,199
2340046315,udp_decode_us,108
2340046315,udp_write_slice_us,0
2340046321,udp_inter_packet_us,113
2340046404,udp_decode_us,84
2340046405,udp_write_slice_us,0
2340046724,udp_inter_packet_us,403
2340046816,udp_decode_us,93
2340046817,udp_write_slice_us,1
2340046822,udp_inter_packet_us,98
2340046909,udp_decode_us,88
2340046910,udp_write_slice_us,0
2340046914,udp_inter_packet_us,92
2340046997,udp_decode_us,84
2340046998,udp_write_slice_us,1
2340047386,udp_inter_packet_us,472
2340047476,udp_decode_us,91
2340047477,udp_write_slice_us,1
2340047570,udp_inter_packet_us,185
2340047657,udp_decode_us,87
2340047658,udp_write_slice_us,1
2340047662,udp_inter_packet_us,92
2340047762,udp_decode_us,100
2340047762,udp_write_slice_us,0
2340048121,udp_inter_packet_us,459
2340048209,udp_decode_us,87
2340048209,udp_write_slice_us,0
2340048214,udp_inter_packet_us,92
2340048300,udp_decode_us,87
2340048301,udp_write_slice_us,0
2340048305,udp_inter_packet_us,92
2340048400,udp_decode_us,95
2340048401,udp_write_slice_us,0
2340048798,udp_inter_packet_us,493
2340048892,udp_decode_us,94
2340048892,udp_write_slice_us,0
2340048974,udp_inter_packet_us,176
2340049080,udp_decode_us,106
2340049081,udp_write_slice_us,1
2340049086,udp_inter_packet_us,112
2340049170,udp_decode_us,83
2340049170,udp_write_slice_us,0
2340049834,udp_inter_packet_us,748
2340049918,udp_decode_us,84
2340049919,udp_write_slice_us,1
2340051340,udp_inter_packet_us,1506
2340051438,udp_decode_us,98
2340051439,udp_write_slice_us,1
2340051444,udp_inter_packet_us,104
2340051528,udp_decode_us,84
2340051528,udp_write_slice_us,0
2340051534,udp_inter_packet_us,90
2340051618,udp_decode_us,84
2340051618,udp_write_slice_us,0
2340051631,udp_inter_packet_us,97
2340051715,udp_decode_us,84
2340051716,udp_write_slice_us,1
2340051720,udp_inter_packet_us,89
2340051804,udp_decode_us,84
2340051804,udp_write_slice_us,0
2340051809,udp_inter_packet_us,88
2340051892,udp_decode_us,84
2340051893,udp_write_slice_us,0
2340052337,udp_inter_packet_us,528
2340052421,udp_decode_us,84
2340052421,udp_write_slice_us,0
2340052426,udp_inter_packet_us,90
2340052519,udp_decode_us,93
2340052519,udp_write_slice_us,0
2340052524,udp_inter_packet_us,98
2340052608,udp_decode_us,84
2340052609,udp_write_slice_us,0
2340052613,udp_inter_packet_us,89
2340052697,udp_decode_us,84
2340052698,udp_write_slice_us,0
2340052702,udp_inter_packet_us,88
2340052785,udp_decode_us,84
2340052786,udp_write_slice_us,0
2340053453,udp_inter_packet_us,752
2340053546,udp_decode_us,93
2340053547,udp_write_slice_us,0
2340053556,udp_inter_packet_us,103
2340053643,udp_decode_us,87
2340053644,udp_write_slice_us,0
2340053648,udp_inter_packet_us,92
2340053736,udp_decode_us,87
2340053736,udp_write_slice_us,0
2340053740,udp_inter_packet_us,92
2340053827,udp_decode_us,87
2340053828,udp_write_slice_us,1
2340053832,udp_inter_packet_us,92
2340053916,udp_decode_us,83
2340053916,udp_write_slice_us,0
2340053921,udp_inter_packet_us,89
2340054008,udp_decode_us,87
2340054008,udp_write_slice_us,0
2340054013,udp_inter_packet_us,92
2340054096,udp_decode_us,83
2340054097,udp_write_slice_us,0
2340054101,udp_inter_packet_us,88
2340054203,udp_decode_us,102
2340054204,udp_write_slice_us,0
2340054209,udp_inter_packet_us,108
2340054303,udp_decode_us,94
2340054304,udp_write_slice_us,0
2340054308,udp_inter_packet_us,99
2340054402,udp_decode_us,94
2340054403,udp_write_slice_us,0
2340054407,udp_inter_packet_us,99
2340054501,udp_decode_us,94
